chan_name,x,y,z,dist
0-0,0.00020000000000000573,2.5497,0.0007,2.54970000784406
0-1,0.00020000000000000573,2.5497,0.0007,2.54970000784406
0-2,2.2499000000000002,1.3497,0.0002,2.623688262732446
0-3,2.2499000000000002,1.3497,0.0002,2.623688262732446
0-4,2.2503,-1.3499,0.0,2.6241341619665715
0-5,2.2503,-1.3499,0.0,2.6241341619665715
0-6,-0.0002999999999999947,-2.5496999999999996,-0.0007,2.5497000176491347
0-7,-0.0002999999999999947,-2.5496999999999996,-0.0007,2.5497000176491347
0-8,-2.25,-1.3497,-0.0001,2.623774016564689
0-9,-2.25,-1.3497,-0.0001,2.623774016564689
0-10,-2.2504,1.3498999999999999,0.0,2.6242199164704165
0-11,-2.2504,1.3498999999999999,0.0,2.6242199164704165
0-12,-3.7278,4.4429,-0.0,5.799642510534593
0-13,-3.7278,4.4429,-0.0,5.799642510534593
0-14,3.7277,4.4437,0.0006,5.800191115816788
0-15,3.7277,4.4437,0.0006,5.800191115816788
0-16,5.7121,1.007,-0.0003,5.800184084147675
0-17,5.7121,1.007,-0.0003,5.800184084147675
0-18,5.0233,-2.9002,-0.0002,5.800405410831211
0-19,5.0233,-2.9002,-0.0002,5.800405410831211
0-20,1.9841999999999997,-5.4502999999999995,-0.0006,5.800243075078836
0-21,1.9841999999999997,-5.4502999999999995,-0.0006,5.800243075078836
0-22,-1.9842,-5.4497,-0.001,5.799679278201511
0-23,-1.9842,-5.4497,-0.001,5.799679278201511
0-24,-5.0226999999999995,-2.8996999999999997,-0.0006,5.799635797185888
0-25,-5.0226999999999995,-2.8996999999999997,-0.0006,5.799635797185888
0-26,-5.712,1.0066,0.0001,5.800016168942979
0-27,-5.712,1.0066,0.0001,5.800016168942979
0-28,-9.008,2.4169,-0.0004,9.326600109900712
0-29,-9.008,2.4169,-0.0004,9.326600109900712
0-30,-7.9239999999999995,5.910200000000001,0.0003,9.88535482620629
0-31,-7.9239999999999995,5.910200000000001,0.0003,9.88535482620629
0-32,-4.2854,9.3952,0.0009,10.32639512124149
